English Source,MT System,Post-Edit Text,comments,error_type
app store [TAG] apps,tienda de aplicaciones[TAG],Tienda de aplicaciones[TAG] aplicaciones,Missing content,omission
tap 7 times on the background,toca 7 veces en el fondo de la pantalla,toca 7 veces el fondo de la pantalla,Ungrammatical.,other
pair,vincular,sincronizar,As per glossary.,other
Use [TAG] device to…,Usa [TAG] un dispositivo para…,Usa el dispositivo de [TAG] para…,Wrong placement of the tag.,other
This will link [TAG] device with yours.,Esto vinculará [TAG] dispositivo con tuyo.,Esto vinculará el dispositivo de [TAG] con el tuyo.,Wrong placement of the tag and missing article (ungrammatical sentence).,omission
Screen time[TAG] hours,Tiempo de visualización[TAG] horas,Tiempo en pantalla: [TAG] horas,Wrong punctuation and missing space.,omission
Auto lock authentication of 2,Autocompletar autenticación Autenticación de Bloqueo automático de 2,Postediting changes are marked in blue,"Mistranslation, meaning has not been understood",mistranslation
USB Secure Folder Mode,Modo de carpeta USB seguro Carpeta segura por USB,Postediting changes are marked in blue,"Mistranslation, meaning has not been understood",mistranslation
"Turn on the device again, and if it reoccurs,contact the customer center (1544-0010).","Enciende el dispositivo nuevamente y, si se restablece vuelve a ocurrir, comunícate con el centro de atención al cliente (1544-0010).",Postediting changes are marked in blue,"Mistranslation, meaning has not been understood",mistranslation
Flip open & play media,Abrir la tapa y reproducir medios,Abrir la tapa y reproducir contenido multimedia,"Mistranslation, contextual",mistranslation
"Please note that if Family Space is uninstalled, the restrictions will be removed from the device.","Tenga Ten en cuenta que, si el Espacio familiar se desinstala Family Space, se desinstala, quitarán las restricciones se quitarán del dispositivo.",Postediting changes are marked in blue,Wrong tone of voice and terminology. Family Space should be kpet in English,terminology
Invalid code,Invalid code Código no valido,Postediting changes are marked in blue,Content not translated,other
Go to My Family,Ir a mi familia,Ir a Mi familia,Capitalization as per source,other
Different support to different people,Soporte diferente para Se adapta a diferentes personas,Postediting changes are marked in blue,"Mistranslation, meaning has not been understood",mistranslation
See notifications when lock screen is off,Ve notificaciones cuando la pantalla de bloqueo está desactivada,Ver notificaciones cuando la pantalla de bloqueo está desactivada,Wrong tense,other
"To let the Phone app use your mic, swipe down the top to open Quick Settings, then tap Mic Acess.","Para permitir que la aplicación del teléfono Teléfono utilice tu micrófono, desliza hacia arriba para abrir la configuración rápida los Ajustes rápidos y, luego, presiona Acceso al micrófono.",Postediting changes are marked in blue,"Mistranslation, meaning has not been understood",mistranslation
DND,NO No interrumpir,Postediting changes are marked in blue,"Term to be translated, not understood by the engine",other
